run,pattern,signal,score,ml_prob,pnl,reason
1,Double Top,SELL,0.5088886994123458,0.21481449902057648,-0.27115495084042607,SL
1,Double Top,SELL,0.4406134310364723,0.1010223850607872,-0.2736113874084509,SL
1,Double Top,SELL,0.5838339108228683,0.3397231847047806,-0.27425561675333654,SL
1,Double Top,SELL,0.45390696182847023,0.12317826971411705,-0.27494325745489334,SL
1,Double Top,SELL,0.4466965425014496,0.11116090416908264,-0.2776154548755727,SL
1,Double Top,SELL,0.706073145866394,0.5434552431106567,-0.27847310119607016,SL
1,Bearish Engulfing,SELL,0.39024263277649873,0.18373772129416466,-0.28262646534481917,SL
1,Bearish Engulfing,SELL,0.47202197194099427,0.3200366199016571,-0.2815122056548347,SL
1,3 White Soldiers,BUY,0.5483888125419617,0.3139813542366028,0.5642558797325279,TP
1,3 Black Crows,SELL,0.45554375383257867,0.17923958972096443,-0.28174138321016073,SL
1,Double Bottom,BUY,0.4823484915494919,0.17058081924915314,-0.2832374741311412,SL
1,Bullish Engulfing,BUY,0.6069782865047455,0.4782971441745758,-0.2826717861003232,SL
1,Double Top,SELL,0.5756224754452706,0.3260374590754509,-0.28203624157276863,SL
1,Double Top,SELL,0.6181394445896149,0.3968990743160248,-0.282479999353086,SL
1,Double Top,SELL,0.4977200436592102,0.19620007276535034,-0.2836592895308172,SL
1,Double Top,SELL,0.5236686456203461,0.23944774270057678,-0.28336365332343405,SL
1,Double Bottom,BUY,0.5635532590746879,0.30592209845781326,0.5666161574776538,TP
1,Double Bottom,BUY,0.7024978685379029,0.5374964475631714,0.047482067532698125,SL
1,Double Bottom,BUY,0.5999276074767113,0.36654601246118546,-0.2858653774491131,SL
1,Double Bottom,BUY,0.5135247904062271,0.22254131734371185,0.04742286517426919,SL
1,Double Bottom,BUY,0.482217335999012,0.17036222666502,-0.2878097895487173,SL
1,Double Bottom,BUY,0.4790126930177212,0.1650211550295353,-0.2891620019765355,SL
1,Double Bottom,BUY,0.5030874300003052,0.2051457166671753,0.5796218525496499,TP
1,Double Bottom,BUY,0.5048269364237785,0.2080448940396309,0.5852858347063972,TP
1,3 White Soldiers,BUY,0.6921375143527985,0.5202291905879974,0.5883980640433322,TP
1,Bearish Engulfing,SELL,0.34107470393180844,0.10179117321968079,0.04932674004157889,SL
1,Double Top,SELL,0.445932908654213,0.10988818109035492,-0.2896412679653082,SL
2,Double Bottom,BUY,0.6799999999999999,0.5,-0.30394095223763884,SL
2,Double Bottom,BUY,0.6799999999999999,0.5,-0.30279133766244115,SL
2,Shooting Star,SELL,0.56,0.5,0.05020484127484792,SL
2,3 White Soldiers,BUY,0.66,0.5,-0.30205432332812165,SL
2,Inverted Hammer,BUY,0.5680000000000001,0.5,0.604593389454152,TP
2,Bullish Engulfing,BUY,0.6200000000000001,0.5,-0.305447606494738,SL
2,Hammer,BUY,0.6000000000000001,0.5,0.6111804895360962,TP
2,3 White Soldiers,BUY,0.6200000000000001,0.5,-0.30988953204614234,SL
2,3 White Soldiers,BUY,0.6200000000000001,0.5,0.623014484908623,TP
2,3 White Soldiers,BUY,0.6200000000000001,0.5,0.05242250890525213,SL
2,Bearish Engulfing,SELL,0.58,0.5,-0.3156643739732772,SL
2,3 White Soldiers,BUY,0.66,0.5,0.052788268570026275,SL
2,3 White Soldiers,BUY,0.66,0.5,0.05318231930651507,SL
2,3 White Soldiers,BUY,0.66,0.5,0.05340093885109809,SL
2,3 White Soldiers,BUY,0.66,0.5,-0.32362256497471265,SL
2,3 White Soldiers,BUY,0.66,0.5,-0.3270623294846331,SL
2,3 White Soldiers,BUY,0.66,0.5,-0.3297902944036082,SL
2,Bullish Engulfing,BUY,0.6200000000000001,0.5,-0.3304698820408447,SL
2,3 White Soldiers,BUY,0.4483304536342621,0.14721742272377014,-0.3346180421304581,SL
2,Bullish Engulfing,BUY,0.4080644254386426,0.1467740423977375,-0.33794896626334037,SL
2,3 Black Crows,SELL,0.6555397611856462,0.5592329353094101,-0.3347293886528462,SL
2,Double Top,SELL,0.48068900883197785,0.16781501471996307,-0.3343398340361716,SL
2,Bullish Engulfing,BUY,0.38235778555274014,0.10392964258790016,0.05590401542633572,SL
2,Double Bottom,BUY,0.4964781987667084,0.1941303312778473,-0.33504407150662985,SL
2,Double Bottom,BUY,0.4521451506018639,0.1202419176697731,-0.3344345473232977,SL
2,Double Bottom,BUY,0.4911339911818504,0.1852233186364174,-0.33445122571808383,SL
2,Morning Star,BUY,0.4618997991085053,0.2698329985141754,0.055416463357232715,SL
2,3 White Soldiers,BUY,0.5786647832393647,0.36444130539894104,0.6687759440920757,TP
2,Double Top,SELL,0.5351341950893402,0.258556991815567,0.05631652279730304,SL
2,Bearish Engulfing,SELL,0.4248304264545441,0.1947173774242401,0.05612580789713206,SL
2,Double Top,SELL,0.44051374673843385,0.1008562445640564,-0.33568460976128733,SL
2,3 White Soldiers,BUY,0.4250732204318047,0.1084553673863411,0.6745979153105424,TP
2,Double Top,SELL,0.45734311521053317,0.12890519201755524,0.6843122476777097,TP
2,Bullish Engulfing,BUY,0.34262303590774534,0.10437172651290894,-0.33996187509134757,SL
2,Double Top,SELL,0.4489055472612381,0.11484257876873016,0.6721367886852789,TP
